X,Y,OBJECTID,Type,Detail_Type,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,name,Ownership,Management,Surface,Use_,Condition,Lat,Long
-84.752982339019653,44.513964264129385,6070,Campground,State Park,Roscommon,Crawford,North Higgins Lake State Park,Modern,82,0,North Higgins Lake State Park West,State,DNR,Dirt,Recreation,Unknown,44.51395581,-84.75297718
-84.763387273095802,44.513695994381628,6071,Campground,State Park,Roscommon,Crawford,North Higgins Lake  State Park,Modern,93,0,North Higgins Lake  State Park East,State,DNR,Dirt,Recreation,Unknown,44.51368754,-84.76338211
-84.232875101778816,45.4357290370992,6072,Campground,State Park,Gaylord,Presque Isle,Onaway State Park,Modern,85,0,Onaway State Park  ,State,DNR,Dirt,Recreation,Unknown,45.4357204,-84.23287
-86.315643161805099,44.281421775215158,6073,Campground,State Park,Cadillac,Manistee,Orchard Beach State Park,Modern,168,0,Orchard Beach State Park  ,State,DNR,Dirt,Recreation,Unknown,44.28141345,-86.31563755
-83.409393489868791,42.89685653420311,6074,Campground,State Park,Bay City,Oakland,Ortonville Recreation Area,Equestrian,25,0,Ortonville Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.89684828,-83.40938891
-84.687630881067179,44.934078161847815,6075,Campground,State Park,Gaylord,Otsego,Otsego Lake State Park,Modern,99,4,Otsego Lake State Park North,State,DNR,Dirt,Recreation,Unknown,44.93406963,-84.6876257
-84.690835547542179,44.928941811455587,6076,Campground,State Park,Gaylord,Otsego,Otsego Lake State Park,Modern,52,0,Otsego Lake State Park South,State,DNR,Dirt,Recreation,Unknown,44.92893328,-84.69083036
-84.910084183118556,45.404004646902969,6077,Campground,State Park,Gaylord,Emmet,Petoskey State Park,Modern,80,0,Petoskey State Park Dune,State,DNR,Dirt,Recreation,Unknown,45.40399606,-84.91007888
-84.908364012123997,45.409023666808821,6078,Campground,State Park,Gaylord,Emmet,Petoskey State Park,Group,1,0,Petoskey State Park  ,State,DNR,Dirt,Recreation,Unknown,45.40901507,-84.90835871
-84.912840100417071,45.395198354944455,6079,Campground,State Park,Gaylord,Emmet,Petoskey State Park,Modern,100,5,Petoskey State Park Tannery Creek,State,DNR,Dirt,Recreation,Unknown,45.39518977,-84.91283479
-84.043627506777881,42.422773371120272,6080,Campground,State Park,Rose Lake,Washtenaw,Pickney Recreation Areas,Modern,185,0,Pickney Recreation Areas Bruin Lake,State,DNR,Dirt,Recreation,Unknown,42.42276523,-84.04362278
-83.980047534305612,42.422559516247205,6081,Campground,State Park,Rose Lake,Washtenaw,Pickney Recreation Areas,Rustic,20,0,Pickney Recreation Areas  ,State,DNR,Dirt,Recreation,Unknown,42.42255137,-83.98004283
